Model;n_estimators;max_depth;min_samples_split;min_samples_leaf;MSE;MAD;MAPE
ExtraTrees;50;5;2;1;2.23;1.28;67.02
ExtraTrees;50;5;2;2;2.22;1.28;66.98
ExtraTrees;50;5;5;1;2.23;1.28;67.13
ExtraTrees;50;5;5;2;2.22;1.28;66.97
ExtraTrees;50;10;2;1;2.81;1.44;73.66
ExtraTrees;50;10;2;2;2.53;1.36;70.99
ExtraTrees;50;10;5;1;2.66;1.39;72.66
ExtraTrees;50;10;5;2;2.51;1.35;70.41
ExtraTrees;50;20;2;1;3.36;1.56;78.09
ExtraTrees;50;20;2;2;2.65;1.38;72.13
ExtraTrees;50;20;5;1;2.81;1.43;73.90
ExtraTrees;50;20;5;2;2.55;1.35;70.91
ExtraTrees;100;5;2;1;2.22;1.28;67.00
ExtraTrees;100;5;2;2;2.20;1.27;66.86
ExtraTrees;100;5;5;1;2.21;1.27;66.91
ExtraTrees;100;5;5;2;2.21;1.27;66.84
ExtraTrees;100;10;2;1;2.82;1.44;73.45
ExtraTrees;100;10;2;2;2.54;1.36;71.29
ExtraTrees;100;10;5;1;2.63;1.38;72.08
ExtraTrees;100;10;5;2;2.50;1.35;70.50
ExtraTrees;100;20;2;1;3.32;1.55;77.34
ExtraTrees;100;20;2;2;2.65;1.38;72.15
ExtraTrees;100;20;5;1;2.79;1.42;73.73
ExtraTrees;100;20;5;2;2.58;1.36;71.21
ExtraTrees;200;5;2;1;2.21;1.28;66.88
ExtraTrees;200;5;2;2;2.20;1.27;66.78
ExtraTrees;200;5;5;1;2.21;1.27;66.87
ExtraTrees;200;5;5;2;2.20;1.27;66.76
ExtraTrees;200;10;2;1;2.80;1.43;72.93
ExtraTrees;200;10;2;2;2.53;1.36;71.02
ExtraTrees;200;10;5;1;2.60;1.38;71.83
ExtraTrees;200;10;5;2;2.50;1.35;70.59
ExtraTrees;200;20;2;1;3.32;1.55;77.55
ExtraTrees;200;20;2;2;2.63;1.38;71.98
ExtraTrees;200;20;5;1;2.77;1.41;73.31
ExtraTrees;200;20;5;2;2.59;1.36;71.47
RandomForest;50;5;2;1;2.27;1.29;67.56
RandomForest;50;5;2;2;2.25;1.28;67.35
RandomForest;50;5;5;1;2.26;1.29;67.56
RandomForest;50;5;5;2;2.25;1.28;67.28
RandomForest;50;10;2;1;2.46;1.33;69.43
RandomForest;50;10;2;2;2.43;1.32;69.16
RandomForest;50;10;5;1;2.45;1.33;69.36
RandomForest;50;10;5;2;2.39;1.31;68.64
RandomForest;50;20;2;1;2.57;1.36;69.96
RandomForest;50;20;2;2;2.48;1.34;69.91
RandomForest;50;20;5;1;2.52;1.35;70.08
RandomForest;50;20;5;2;2.44;1.32;69.45
RandomForest;100;5;2;1;2.26;1.29;67.64
RandomForest;100;5;2;2;2.25;1.28;67.45
RandomForest;100;5;5;1;2.26;1.28;67.61
RandomForest;100;5;5;2;2.25;1.28;67.40
RandomForest;100;10;2;1;2.45;1.34;69.68
RandomForest;100;10;2;2;2.44;1.33;69.43
RandomForest;100;10;5;1;2.44;1.33;69.44
RandomForest;100;10;5;2;2.41;1.32;68.93
RandomForest;100;20;2;1;2.57;1.37;70.48
RandomForest;100;20;2;2;2.49;1.34;69.73
RandomForest;100;20;5;1;2.51;1.34;69.88
RandomForest;100;20;5;2;2.46;1.33;69.51
RandomForest;200;5;2;1;2.26;1.28;67.29
RandomForest;200;5;2;2;2.25;1.28;67.15
RandomForest;200;5;5;1;2.25;1.28;67.25
RandomForest;200;5;5;2;2.25;1.28;67.11
RandomForest;200;10;2;1;2.44;1.33;69.65
RandomForest;200;10;2;2;2.41;1.32;69.12
RandomForest;200;10;5;1;2.41;1.32;69.16
RandomForest;200;10;5;2;2.39;1.31;68.82
RandomForest;200;20;2;1;2.56;1.36;70.33
RandomForest;200;20;2;2;2.48;1.33;69.51
RandomForest;200;20;5;1;2.48;1.33;69.50
RandomForest;200;20;5;2;2.45;1.32;69.24
